provider,model,seed,condition_type,strategy,random_RSI,final_RSI,delta_RSI,random_GBC,final_GBC,delta_GBC,random_CAI,final_CAI,delta_CAI,random_SII,final_SII,delta_SII,run_dir
deepseek,deepseek-v4-flash,4,halo,boss,0.4765712504920212,0.6490681608691077,0.17249691037708648,0.3863064341257903,0.7756329971669715,0.38932656304118124,0.1416666666666666,0.08888888888888892,-0.05277777777777769,0.10988911358251376,0.09170874455121765,-0.018180369031296106,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_boss_seed4_1778495932
deepseek,deepseek-v4-flash,4,halo,control,0.42643054073283193,0.46242439713594763,0.0359938564031157,0.5734916237874949,0.5970794363936973,0.023587812606202463,0.1277777777777777,0.005555555555555536,-0.12222222222222218,0.09852304361648995,0.06689774765995722,-0.031625295956532726,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_control_seed4_1778499427
deepseek,deepseek-v4-flash,4,neutral,boss,0.4216442000613019,0.565676320441932,0.14403212038063007,0.5893203355489114,0.5512659943339431,-0.03805434121496831,0.1388888888888889,0.03888888888888885,-0.10000000000000005,0.10099810534832133,0.058001702827280836,-0.0429964025210405,runs/deepseek/deepseek-v4-flash_neutral_boss_seed4_1778488543
deepseek,deepseek-v4-flash,4,neutral,control,0.442548847458204,0.45669894060600924,0.014150093147805243,0.3574191994392155,0.5893203355489114,0.23190113610969587,0.11388888888888883,0.04999999999999992,-0.06388888888888891,0.0986404494698039,0.06871842709362763,-0.029922022376176263,runs/deepseek/deepseek-v4-flash_neutral_control_seed4_1778492762
groq,llama-3.3-70b-versatile,0,halo,boss,0.4310282011211504,0.4868922705953118,0.05586406947416139,0.5007246467385995,0.5512659943339431,0.050541347595343566,0.0,0.08333333333333333,0.08333333333333333,0.023570226039551567,0.06871842709362767,0.045148201054076104,runs/groq/llama-3.3-70b-versatile_halo-style_polite_structured_boss_seed0_1778408671
groq,llama-3.3-70b-versatile,0,halo,control,0.43106754479013915,0.4439293068329636,0.012861762042824465,0.3738013580635089,0.3996419515479125,0.025840593484403596,0.027777777777777776,0.016666666666666607,-0.011111111111111169,0.03068155838107571,0.06394924685122963,0.03326768847015392,runs/groq/llama-3.3-70b-versatile_halo-style_polite_structured_control_seed0_1778408861
groq,llama-3.3-70b-versatile,0,neutral,boss,0.42734922936575254,0.4674302570570201,0.04008102769126759,0.39736227280098524,0.5007246467385995,0.10336237393761427,0.005555555555555536,0.05833333333333327,0.052777777777777736,0.031671539586087184,0.05562495665139106,0.023953417065303878,runs/groq/llama-3.3-70b-versatile_neutral_boss_seed0_1778408331
groq,llama-3.3-70b-versatile,0,neutral,control,0.43502811359941806,0.4114456266448192,-0.023582486954598858,0.4590553414927795,0.3738013580635089,-0.0852539834292706,0.052777777777777736,0.0,-0.052777777777777736,0.06167667586437364,0.023570226039551567,-0.03810644982482207,runs/groq/llama-3.3-70b-versatile_neutral_control_seed0_1778408508
groq,llama-3.3-70b-versatile,1,halo,boss,0.4489125701047667,0.48902723764952616,0.04011466754475945,0.24237061097392174,0.5007246467385995,0.25835403576467775,0.038888888888888945,0.0944444444444444,0.055555555555555455,0.0417591566065914,0.06678230711206279,0.025023150505471388,runs/groq/llama-3.3-70b-versatile_halo-style_polite_structured_boss_seed1_1778411411
groq,llama-3.3-70b-versatile,1,halo,control,0.41573358719630765,0.4274030303358377,0.011669443139530056,0.27043898412589457,0.35429461699364595,0.08385563286775138,0.06111111111111109,0.1083333333333333,0.04722222222222221,0.05583264233956049,0.10559209893749004,0.04975945659792955,runs/groq/llama-3.3-70b-versatile_halo-style_polite_structured_control_seed1_1778411607
